budget_id,scenario_key,cost_center_id,cost_center_name,legal_entity_id,legal_entity_name,fiscal_year,fiscal_quarter,fiscal_quarter_name,record_type,budget_amount,actual_amount,variance_amount,variance_percent,budget_version,approved_date,currency,created_date
0,1006_100001_Q3 2025,1006,Finance,100001,Acme Corporation,2025,3,Q3 2025,BUDGET,9358796.44,8954682.86,404113.58,4.51,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
1,1005_100005_Q4 2023,1005,R&D,100005,Enterprise Solutions Group,2023,4,Q4 2023,BUDGET,9444870.52,9972200.69,-527330.17,-5.29,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
2,1000_100002_Q1 2026,1000,Executive,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,791044.32,772583.84,18460.48,2.39,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
3,1004_100005_Q3 2023,1004,Engineering,100005,Enterprise Solutions Group,2023,3,Q3 2023,BUDGET,9266919.91,8604891.29,662028.62,7.69,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
4,1005_100002_Q3 2025,1005,R&D,100002,Global Industries Inc,2025,3,Q3 2025,BUDGET,9588664.78,9039724.08,548940.70,6.07,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
5,1004_100001_Q1 2026,1004,Engineering,100001,Acme Corporation,2026,1,Q1 2026,BUDGET,597792.30,537888.12,59904.18,11.14,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
6,1001_100005_Q4 2023,1001,Corporate,100005,Enterprise Solutions Group,2023,4,Q4 2023,BUDGET,11340295.27,10088185.93,1252109.34,12.41,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
7,1003_100004_Q3 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,3,Q3 2023,BUDGET,8779440.50,8768965.64,10474.86,0.12,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
8,1005_100003_Q1 2024,1005,R&D,100003,TechVentures LLC,2024,1,Q1 2024,BUDGET,9303684.07,8922382.09,381301.98,4.27,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
9,1000_100004_Q2 2024,1000,Executive,100004,International Holdings Ltd,2024,2,Q2 2024,BUDGET,12659391.43,10618571.26,2040820.17,19.22,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
10,1001_100002_Q1 2026,1001,Corporate,100002,Global Industries Inc,2026,1,Q1 2026,BUDGET,843357.11,729198.30,114158.81,15.66,V1,2025-12-02,USD,2025-10-17T23:03:07.580Z
11,1004_100005_Q1 2025,1004,Engineering,100005,Enterprise Solutions Group,2025,1,Q1 2025,BUDGET,9834365.10,10484567.74,-650202.64,-6.20,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
12,1004_100003_Q4 2024,1004,Engineering,100003,TechVentures LLC,2024,4,Q4 2024,BUDGET,10593492.51,9606836.18,986656.33,10.27,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
13,1006_100001_Q2 2025,1006,Finance,100001,Acme Corporation,2025,2,Q2 2025,BUDGET,11063563.46,9319907.30,1743656.16,18.71,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
14,1004_100004_Q2 2024,1004,Engineering,100004,International Holdings Ltd,2024,2,Q2 2024,BUDGET,8730721.75,9080418.91,-349697.16,-3.85,V1,2023-12-02,USD,2025-10-17T23:03:07.580Z
15,1007_100001_Q3 2025,1007,Manufacturing,100001,Acme Corporation,2025,3,Q3 2025,BUDGET,10198888.41,8616461.33,1582427.08,18.37,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
16,1003_100001_Q2 2025,1003,Marketing Department,100001,Acme Corporation,2025,2,Q2 2025,BUDGET,10461662.19,9518721.24,942940.95,9.91,V1,2024-12-02,USD,2025-10-17T23:03:07.580Z
17,1003_100004_Q4 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,4,Q4 2023,BUDGET,9972088.17,10325745.94,-353657.77,-3.43,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
18,1004_100001_Q2 2023,1004,Engineering,100001,Acme Corporation,2023,2,Q2 2023,BUDGET,9030311.76,8087749.70,942562.06,11.65,V1,2022-12-02,USD,2025-10-17T23:03:07.580Z
