forecast_id,scenario_key,cost_center_id,cost_center_name,legal_entity_id,legal_entity_name,fiscal_year,fiscal_quarter,fiscal_quarter_name,record_type,forecast_amount,forecast_version,forecast_type,forecast_date,currency
0,1006_100001_Q3 2025,1006,Finance,100001,Acme Corporation,2025,3,Q3 2025,FORECAST,9746171.57,V1,ROLLING,2025-08-01,USD
1,1005_100005_Q4 2023,1005,R&D,100005,Enterprise Solutions Group,2023,4,Q4 2023,FORECAST,11323218.43,V1,ROLLING,2023-11-01,USD
2,1000_100002_Q1 2026,1000,Executive,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,862107.59,V1,ROLLING,2026-02-01,USD
3,1004_100005_Q3 2023,1004,Engineering,100005,Enterprise Solutions Group,2023,3,Q3 2023,FORECAST,10708188.85,V1,ROLLING,2023-08-01,USD
4,1005_100002_Q3 2025,1005,R&D,100002,Global Industries Inc,2025,3,Q3 2025,FORECAST,8361410.14,V1,ROLLING,2025-08-01,USD
5,1004_100001_Q1 2026,1004,Engineering,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,665370.09,V1,ROLLING,2026-02-01,USD
6,1001_100005_Q4 2023,1001,Corporate,100005,Enterprise Solutions Group,2023,4,Q4 2023,FORECAST,8661136.63,V1,ROLLING,2023-11-01,USD
7,1003_100004_Q3 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,3,Q3 2023,FORECAST,10116275.54,V1,ROLLING,2023-08-01,USD
8,1005_100003_Q1 2024,1005,R&D,100003,TechVentures LLC,2024,1,Q1 2024,FORECAST,7757959.48,V1,ROLLING,2024-02-01,USD
9,1000_100004_Q2 2024,1000,Executive,100004,International Holdings Ltd,2024,2,Q2 2024,FORECAST,8897735.40,V1,ROLLING,2024-05-01,USD
10,1001_100002_Q1 2026,1001,Corporate,100002,Global Industries Inc,2026,1,Q1 2026,FORECAST,755466.01,V1,ROLLING,2026-02-01,USD
11,1004_100005_Q1 2025,1004,Engineering,100005,Enterprise Solutions Group,2025,1,Q1 2025,FORECAST,13437369.07,V1,ROLLING,2025-02-01,USD
12,1004_100003_Q4 2024,1004,Engineering,100003,TechVentures LLC,2024,4,Q4 2024,FORECAST,12382307.19,V1,ROLLING,2024-11-01,USD
13,1006_100001_Q2 2025,1006,Finance,100001,Acme Corporation,2025,2,Q2 2025,FORECAST,8104663.40,V1,ROLLING,2025-05-01,USD
14,1004_100004_Q2 2024,1004,Engineering,100004,International Holdings Ltd,2024,2,Q2 2024,FORECAST,7420409.74,V1,ROLLING,2024-05-01,USD
15,1007_100001_Q3 2025,1007,Manufacturing,100001,Acme Corporation,2025,3,Q3 2025,FORECAST,7734305.73,V1,ROLLING,2025-08-01,USD
16,1003_100001_Q2 2025,1003,Marketing Department,100001,Acme Corporation,2025,2,Q2 2025,FORECAST,9527682.26,V1,ROLLING,2025-05-01,USD
17,1003_100004_Q4 2023,1003,Marketing Department,100004,International Holdings Ltd,2023,4,Q4 2023,FORECAST,8536797.75,V1,ROLLING,2023-11-01,USD
18,1004_100001_Q2 2023,1004,Engineering,100001,Acme Corporation,2023,2,Q2 2023,FORECAST,8082673.92,V1,ROLLING,2023-05-01,USD
19,1007_100001_Q1 2026,1007,Manufacturing,100001,Acme Corporation,2026,1,Q1 2026,FORECAST,774321.39,V1,ROLLING,2026-02-01,USD
20,1006_100004_Q2 2023,1006,Finance,100004,International Holdings Ltd,2023,2,Q2 2023,FORECAST,10961674.85,V1,ROLLING,2023-05-01,USD
21,1007_100002_Q1 2025,1007,Manufacturing,100002,Global Industries Inc,2025,1,Q1 2025,FORECAST,11345093.08,V1,ROLLING,2025-02-01,USD
22,1002_100003_Q1 2026,1002,Sales Department,100003,TechVentures LLC,2026,1,Q1 2026,FORECAST,562238.85,V1,ROLLING,2026-02-01,USD
23,1001_100002_Q2 2023,1001,Corporate,100002,Global Industries Inc,2023,2,Q2 2023,FORECAST,8347736.86,V1,ROLLING,2023-05-01,USD
24,1000_100002_Q3 2024,1000,Executive,100002,Global Industries Inc,2024,3,Q3 2024,FORECAST,8926342.23,V1,ROLLING,2024-08-01,USD
