as_of_date,account_number,account_name,account_type,normal_balance,total_debits,total_credits,net_balance,debit_balance,credit_balance,legal_entity_id,legal_entity_name,cost_center_id,cost_center_name,category,entry_count,first_entry_date,last_entry_date,snapshot_timestamp
2023-10-31,1100,Accounts Receivable,Asset,Debit,4576159.059999996,3759395.120000004,816763.939999992,816763.939999992,0,100002,Global Industries Inc,1001,Corporate,overhead,2331,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,5953950.689999989,3718486.1400000025,2235464.549999987,2235464.549999987,0,100003,TechVentures LLC,1004,Engineering,materials,3223,2023-01-15,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3747613.890000001,4783606.199999999,-1035992.3099999982,0,1035992.3099999982,100002,Global Industries Inc,1006,Finance,overhead,4970,2023-01-16,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,9497891.539999992,7960959.690000001,1536931.8499999903,1536931.8499999903,0,100003,TechVentures LLC,1003,Marketing Department,subcontractor,2477,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6813539.709999998,-6813539.709999998,0,6813539.709999998,100001,Acme Corporation,1006,Finance,equipment,1292,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,7109293.07,3356045.049999998,3753248.0200000023,3753248.0200000023,0,100002,Global Industries Inc,1000,Executive,subcontractor,3285,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,270381.73999999993,0,270381.73999999993,270381.73999999993,0,100001,Acme Corporation,1002,Sales Department,materials,2777,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6336384.500000003,-6336384.500000003,0,6336384.500000003,100002,Global Industries Inc,1007,Manufacturing,equipment,1197,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3199461.0299999965,2592378.139999998,607082.8899999987,607082.8899999987,0,100004,International Holdings Ltd,1004,Engineering,labor,2238,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,6567788.6,5346767.709999999,1221020.8900000006,1221020.8900000006,0,100002,Global Industries Inc,1002,Sales Department,equipment,2325,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6265710.669999996,-6265710.669999996,0,6265710.669999996,100002,Global Industries Inc,1005,R&D,equipment,1274,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,2725877.69,3336378.1699999995,-610500.4799999995,0,610500.4799999995,100002,Global Industries Inc,1004,Engineering,labor,3353,2023-01-10,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4056728.0499999993,0,4056728.0499999993,4056728.0499999993,0,100005,Enterprise Solutions Group,1000,Executive,subcontractor,2748,2023-01-23,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6262069.829999999,-6262069.829999999,0,6262069.829999999,100002,Global Industries Inc,1000,Executive,equipment,1289,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3519416.3,2885441.9299999983,633974.3700000015,633974.3700000015,0,100003,TechVentures LLC,1004,Engineering,labor,2439,2023-01-05,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,4858415.72,-4858415.72,0,4858415.72,100003,TechVentures LLC,1001,Corporate,overhead,1243,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,6142413.729999991,3714684.080000007,2427729.649999984,2427729.649999984,0,100005,Enterprise Solutions Group,1001,Corporate,materials,3258,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,4871821.79,3626085.1200000006,1245736.6699999995,1245736.6699999995,0,100003,TechVentures LLC,1003,Marketing Department,equipment,3319,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,4364889.410000002,-4364889.410000002,0,4364889.410000002,100001,Acme Corporation,1003,Marketing Department,overhead,1239,2023-01-01,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4630509.429999998,0,4630509.429999998,4630509.429999998,0,100003,TechVentures LLC,1000,Executive,overhead,2771,2023-01-21,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4334300.970000007,0,4334300.970000007,4334300.970000007,0,100004,International Holdings Ltd,1007,Manufacturing,subcontractor,2895,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4321619.070000003,0,4321619.070000003,4321619.070000003,0,100005,Enterprise Solutions Group,1007,Manufacturing,subcontractor,2790,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,8117873.609999995,-8117873.609999995,0,8117873.609999995,100005,Enterprise Solutions Group,1005,R&D,materials,1288,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,271759.76,0,271759.76,271759.76,0,100004,International Holdings Ltd,1005,R&D,labor,2849,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6229005.869999995,-6229005.869999995,0,6229005.869999995,100001,Acme Corporation,1001,Corporate,equipment,1286,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4385238.650000008,0,4385238.650000008,4385238.650000008,0,100003,TechVentures LLC,1006,Finance,labor,2736,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,4203364.450000002,5365030.960000008,-1161666.5100000063,0,1161666.5100000063,100004,International Holdings Ltd,1006,Finance,materials,5083,2023-01-17,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4300271.029999996,0,4300271.029999996,4300271.029999996,0,100001,Acme Corporation,1001,Corporate,overhead,2856,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,4072218.4100000015,5032927.820000005,-960709.4100000034,0,960709.4100000034,100005,Enterprise Solutions Group,1001,Corporate,equipment,5168,2023-01-24,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,268857.47000000026,0,268857.47000000026,268857.47000000026,0,100001,Acme Corporation,1004,Engineering,materials,2862,2023-01-21,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4708538.280000013,0,4708538.280000013,4708538.280000013,0,100002,Global Industries Inc,1000,Executive,materials,2895,2023-01-21,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,8392381.200000003,-8392381.200000003,0,8392381.200000003,100004,International Holdings Ltd,1004,Engineering,subcontractor,1273,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,3348417.2300000004,-3348417.2300000004,0,3348417.2300000004,100003,TechVentures LLC,1001,Corporate,compute,1283,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3825885.8200000077,4890574.760000008,-1064688.9400000004,0,1064688.9400000004,100004,International Holdings Ltd,1003,Marketing Department,equipment,5020,2023-01-16,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3399217.4999999995,2711366.8199999984,687850.6800000011,687850.6800000011,0,100003,TechVentures LLC,1000,Executive,labor,2324,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,5767146.610000003,3557959.110000002,2209187.500000001,2209187.500000001,0,100003,TechVentures LLC,1003,Marketing Department,materials,3367,2023-01-13,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3691742.970000009,4787472.300000007,-1095729.3299999982,0,1095729.3299999982,100003,TechVentures LLC,1005,R&D,equipment,5009,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,4706861.910000007,3780225.9999999963,926635.9100000104,926635.9100000104,0,100005,Enterprise Solutions Group,1004,Engineering,overhead,2402,2023-01-05,2023-10-31,2025-10-15T03:09:52.436Z
