period_month,third_party_id,customer_name,legal_entity_id,legal_entity_name,rev_recognized_amount,rev_recognition_indicator,contract_id,contract_number,contract_amortization_value,period_transaction_count,rev_sku_all,rev_sku_labor,rev_sku_compute,rev_sku_materials,rev_sku_subcontractor,rev_sku_equipment,rev_sku_overhead,rev_billed_amount,rev_received_amount,rev_linear_payments,rev_nonlinear_payments
2023-03-01,10000194,Williams & Diaz Company,100005,Enterprise Solutions Group,58690.22000000001,consumption_revenue,null,null,null,17,58690.22000000001,3031.11,13350.89,3772.6800000000003,4767.530000000001,13442.05,20325.96,56971.76000000002,56971.76000000002,null,58690.22000000001
2024-08-01,10000183,Wagner Supplier,100005,Enterprise Solutions Group,14533.740000000002,consumption_revenue,null,null,null,6,14533.740000000002,5000,null,3209.96,2022.1,null,4301.68,14509.67,14509.67,1022.1,13511.64
2023-07-01,10000084,Johnbury Payroll Services Co,100004,International Holdings Ltd,37139.49,consumption_revenue,null,null,null,9,37139.49,6466.68,10552.96,null,2891.04,17128.81,100,37936.340000000004,37936.340000000004,null,37139.49
2025-10-01,10000037,Jackson & Daniel Solutions,100001,Acme Corporation,67337.74,consumption_revenue,null,null,null,20,67337.74,null,10589.619999999999,11377.9,16187.21,19354.93,9828.08,66478.82999999999,66478.82999999999,null,67337.74
2024-06-01,10000238,American Investment Co,100004,International Holdings Ltd,22555.690000000002,consumption_revenue,null,null,null,7,22555.690000000002,7418.870000000001,5000,4281.42,4350.04,1505.36,null,22561.63,22561.63,null,22555.690000000002
2025-04-01,10000273,Global Credit Inc,100002,Global Industries Inc,58281.34,consumption_revenue,null,null,null,5,58281.34,null,null,50000,3070.91,699.85,4510.58,54577.450000000004,54577.450000000004,null,58281.34
2025-04-01,10000054,American Auditing Corporation,100001,Acme Corporation,43441.25000000001,consumption_revenue,null,null,null,14,43441.25000000001,9183.63,8475.45,3359.15,9288.38,500,12634.64,44251.47,44251.47,null,43441.25000000001
2023-11-01,10000034,Lynch Insurance,100002,Global Industries Inc,52669.619999999995,consumption_revenue,null,null,null,17,52669.619999999995,976.35,20000,2207.69,6753.64,6714.33,16017.61,52547.53999999999,52547.53999999999,null,52669.619999999995
2025-05-01,10000189,Martin & Ramos Associates,100002,Global Industries Inc,26708.600000000002,consumption_revenue,null,null,null,8,26708.600000000002,5000,null,null,7229.12,null,14479.48,26037.5,26037.5,null,26708.600000000002
2025-05-01,10000231,Jessicamouth Payroll Services Advisors,100005,Enterprise Solutions Group,53350.22,consumption_revenue,30000933,OUT000933,262808.62166666664,12,53350.22,1512.16,5377.18,23482.29,5287.48,17691.11,null,55371.369999999995,55371.369999999995,null,53350.22
